species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Rallus_cyanocavi,39.9,8,5.6,29.3,3.7,NA,18.6,NA,NA,45.1,NA,7.2,61,NA,6,36.6,6.3,NA,NA,NA,NA,NA,Steadman_2013
Rallus_eivissensis,35.26,7.28,4.85,26.97,3.2,3.16,18.53,4.46,2.53,37.23,6.29,5.81,54.56,7.6,4.88,34.31,5.15,5.47,NA,NA,NA,NA,McMinn_2005
Rallus_gracilipes,48.5,NA,7,37.1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,45.4,6.8,NA,NA,NA,NA,NA,Takano_2018
Rallus_ibycus,32.3,6.6,4.4,24.8,NA,NA,14.8,NA,NA,37.9,6.4,6.3,NA,NA,3.3,22.3,3.4,3.6,NA,NA,NA,NA,Olson_2000
Rallus_ibycus,32.3,6.6,4.4,24.8,NA,NA,14.8,NA,NA,37.9,NA,6.3,NA,NA,5.2,30.2,5.4,NA,NA,NA,NA,NA,Steadman_2013
Rallus_lowei,NA,NA,NA,22.9,3.2,2.8,NA,NA,NA,38.1,6.7,7,54.1,6.7,6,34,6.5,6.8,NA,NA,NA,NA,Alcover_2015
Rallus_montivagorum,33.8,6.7,4.8,26.6,3.2,3,18.9,4.8,2.8,35.8,5.9,5.7,54.3,6.3,4.9,34.1,5.2,5.2,NA,NA,NA,NA,Alcover_2015
Rallus_nanus,25.1,5.2,3.8,16.6,2.4,2.3,11,NA,NA,29.8,NA,NA,43.8,NA,NA,26.4,NA,NA,NA,NA,NA,NA,Alcover_2015
Rallus_natator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,Olson_1974a
Rallus_recessus,43.7,9.4,6.1,34.1,NA,NA,22.9,NA,NA,49.1,8.8,8.3,66.3,NA,6.6,40.9,7,7.4,NA,NA,NA,NA,Olson_2001
Rallus_sp_Graciosa,32.4,7,4.8,NA,NA,NA,17.3,NA,2.4,35.4,5.9,5.7,NA,NA,4.6,37.4,5.8,5.8,NA,NA,NA,NA,Alcover_2015
Rallus_sp_Madeira,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.54,NA,NA,66.99,NA,NA,37.9,NA,NA,NA,NA,NA,NA,Alcover_2015
Rallus_sp_SantaMaria,NA,NA,5.3,NA,NA,NA,NA,NA,NA,38.6,7.1,6.2,56.3,6.4,5.2,NA,NA,5.4,NA,NA,NA,NA,Alcover_2015
